Tamil Nadu,The Nilgiris,417,0
Tamil Nadu,Theni,2075,56
Tamil Nadu,Thiruvarur,1429,13
Tamil Nadu,Thoothukkudi,1273,18
Tamil Nadu,Tiruchirappalli,191,7
Tamil Nadu,Tirunelveli,3628,14
Tamil Nadu,Tiruppur,662,11
Tamil Nadu,Tiruvallur,1756,77
Tamil Nadu,Tiruvannamalai,2965,59
Tamil Nadu,Vellore,6585,145
Tamil Nadu,Villupuram,1086,17
Tamil Nadu,Virudhunagar,945,4
Telangana,Adilabad,915,19
Telangana,Hyderabad,1646,65
Telangana,K.v. Rangareddy,2139,72
Telangana,Karimnagar,1244,34
Telangana,Khammam,804,17
Telangana,Mahabubnagar,2320,82
Telangana,Medak,1445,44
Telangana,Nalgonda,1407,201
Telangana,Nizamabad,627,14
Telangana,Warangal,1003,169
Tripura,Dhalai,37,0
Tripura,Gomati,468,11
Tripura,Khowai,4,0
Tripura,North Tripura,128,1
Tripura,Sepahijala,215,2
Tripura,South Tripura,361,7
Tripura,Unakoti,85,0
Tripura,West Tripura,132,9
Uttar Pradesh,Agra,13913,505
Uttar Pradesh,Aligarh,15204,470
Uttar Pradesh,Allahabad,25079,508
Uttar Pradesh,Ambedkar Nagar,16381,191
Uttar Pradesh,Amethi,3122,79
Uttar Pradesh,Amroha,8465,138
Uttar Pradesh,Auraiya,6674,155
Uttar Pradesh,Azamgarh,18791,195
Uttar Pradesh,Baghpat,2853,46
Uttar Pradesh,Bahraich,6341,68
Uttar Pradesh,Ballia,12868,212
Uttar Pradesh,Balrampur,809,15
Uttar Pradesh,Banda,2613,45
Uttar Pradesh,Bara Banki,10746,225
Uttar Pradesh,Bareilly,32483,1243
Uttar Pradesh,Basti,9135,188
Uttar Pradesh,Bijnor,8913,360
Uttar Pradesh,Budaun,21850,233
Uttar Pradesh,Bulandshahr,22024,278
Uttar Pradesh,Chandauli,4198,37
Uttar Pradesh,Chitrakoot,438,16
Uttar Pradesh,Deoria,16793,318
Uttar Pradesh,Etah,8051,173
Uttar Pradesh,Etawah,2620,100
Uttar Pradesh,Faizabad,10199,415
Uttar Pradesh,Farrukhabad,6646,159
Uttar Pradesh,Fatehpur,6547,90
Uttar Pradesh,Firozabad,8372,279
Uttar Pradesh,Gautam Buddha Nagar,3629,98
Uttar Pradesh,Ghaziabad,7227,271
Uttar Pradesh,Ghazipur,16900,195
Uttar Pradesh,Gonda,12244,144
Uttar Pradesh,Gorakhpur,24420,472
Uttar Pradesh,Hamirpur,1991,14
Uttar Pradesh,Hapur,3,7
Uttar Pradesh,Hardoi,20885,218
Uttar Pradesh,Hathras,3318,110
Uttar Pradesh,Jalaun,2504,40
Uttar Pradesh,Jaunpur,29540,276
Uttar Pradesh,Jhansi,7173,218
Uttar Pradesh,Kannauj,6438,109
Uttar Pradesh,Kanpur Dehat,10511,160
Uttar Pradesh,Kanpur Nagar,14296,576
Uttar Pradesh,Kasganj,4566,61
Uttar Pradesh,Kaushambi,6386,64
Uttar Pradesh,Kheri,18502,140
Uttar Pradesh,Kushinagar,20617,296
Uttar Pradesh,Lalitpur,4711,49
Uttar Pradesh,Lucknow,9024,395
Uttar Pradesh,Maharajganj,8802,162
Uttar Pradesh,Mahoba,166,5
Uttar Pradesh,Mainpuri,4706,163
Uttar Pradesh,Mathura,4429,148
Uttar Pradesh,Mau,16771,175
Uttar Pradesh,Meerut,12294,468
Uttar Pradesh,Mirzapur,10587,186
Uttar Pradesh,Moradabad,21092,391
Uttar Pradesh,Muzaffarnagar,21495,305
Uttar Pradesh,Pilibhit,9964,631
Uttar Pradesh,Pratapgarh,9436,259
Uttar Pradesh,Rae Bareli,3175,148
Uttar Pradesh,Rampur,14407,211
Uttar Pradesh,Saharanpur,15100,283
Uttar Pradesh,Sambhal,11068,147
Uttar Pradesh,Sant Kabir Nagar,1941,76
Uttar Pradesh,Sant Ravidas Nagar,3711,114
Uttar Pradesh,Shahjahanpur,9166,233
Uttar Pradesh,Shamli,6642,92
Uttar Pradesh,Shrawasti,1400,14
Uttar Pradesh,Siddharthnagar,8864,118
Uttar Pradesh,Sitapur,17720,209
Uttar Pradesh,Sonbhadra,10404,105
Uttar Pradesh,Sultanpur,14739,199
Uttar Pradesh,Unnao,8415,208
Uttar Pradesh,Varanasi,9644,281
Uttarakhand,Almora,1653,12
Uttarakhand,Bageshwar,95,4
Uttarakhand,Chamoli,138,2
Uttarakhand,Champawat,59,0
Uttarakhand,Dehradun,3338,82
Uttarakhand,Haridwar,3392,131
Uttarakhand,Nainital,4144,61
Uttarakhand,Pauri Garhwal,2938,39
Uttarakhand,Pithoragarh,2401,14
Uttarakhand,Rudraprayag,154,0
Uttarakhand,Tehri Garhwal,308,7
Uttarakhand,Udham Singh Nagar,10932,274
Uttarakhand,Uttarkashi,1120,8
West Bengal,Bankura,20176,94
West Bengal,Barddhaman,1890,81
West Bengal,Birbhum,3672,46
West Bengal,Cooch Behar,2197,26
West Bengal,Dakshin Dinajpur,1095,12
West Bengal,Darjeeling,5513,41
West Bengal,Hooghly,1184,38
West Bengal,Howrah,841,6
West Bengal,Jalpaiguri,12951,157
West Bengal,Kolkata,450,11
West Bengal,Malda,4598,32
West Bengal,Murshidabad,10989,107
West Bengal,Nadia,1411,17
West Bengal,North 24 Parganas,20746,150
West Bengal,Paschim Medinipur,21973,423
West Bengal,Purba Medinipur,1472,51
West Bengal,Puruliya,3273,18
West Bengal,South 24 Parganas,28752,151
West Bengal,Uttar Dinajpur,612,12
